Composer,ID,Image
Tommaso Traetta,6E5mJxlDGZc2g3ICH2anZj,
Johann Gottlieb Goldberg,5E26lyQXoDmCaf1sRmpWwu,
Johann Wilhelm Hertel,494MRttG6b9DeZxaqSYO7G,https://i.scdn.co/image/872ac15a521b1f8061400ae1e4776dc3a4837ea6
Friedrich Hartmann Graf,7yYSD0UsjBV87530xLvcs2,
FranÃ§ois Martin,6nkx9qOsZP8pUyEAYz2qym,
Johann Gottfried Muthel,35HWYnCMvXaV5Zn6bP2Ueg,
Pietro Alessandro Guglielmi,6kc377FOmImIgVjPG767pP,
Hermann Raupach,5ZxLoMvu5DfZtm1k6ofFCy,
Niccolo Piccinni,40OAUwFkiXg8XGiSofPqPJ,
Johann Adam Hiller,4ZvDoU9ERSWWo7veyKPVM2,
Anton Cajetan Adlgasser,5ydMaLEfH3L0i6QdPP7FUr,
Florian Leopold Gassmann,1hCfkEQfoSnVOj9T21iBlE,
Pierre van Maldere,1Q3Wa9bpeCwiE1Gqg2mHyE,
Pierre-Alexandre Monsigny,7oXrkSulSLaqNSapeXx8An,
Giuseppe Sarti,0z4M9DuPsmYHerg7LxiFq7,https://i.scdn.co/image/d6ed8c9956d1802f50803385f3a0853dbaac1b98
Georg Robert von Pasterwitz,4caZgdkYaJ0Ss5tp80MVBU,
Antonio Soler,5kUi36wXiRNh6Ib7DnIy4f,https://i.scdn.co/image/d34b6c0f392805542fa6da0de8ab41142f36a86e
Giovanni Meneghetti,07V2ccJgOJgtVg21GJDRd0,
Carl Ditters von Dittersdorf,0Wgs2IKNSvS2ysab5XOfkN,https://i.scdn.co/image/2e8cb049b5fe5e4b72e8964cbb61e9a623d960a4
Capel Bond,0XNX2voncTfhNN7TALyQ5w,
Antonio Sacchini,2rgNsQpcCoCWsvRc34zULU,
William Jackson,1W4RZP9tOkbbsxkkViDaBD,https://i.scdn.co/image/fa3bbc33beb1134fcd7d73b660f04927715260b7
Christian Cannabich,7k2aUIIMVkxJAwt51Ov7fN,
Giuseppe Demachi,3SkT0KE8cXC4dJnMIJkGXW,
Gaetano Pugnani,02TPcAGsJLwI40oYlva8gy,https://i.scdn.co/image/f48e511bf2840fb7c54791ab7ad795663fb05bd4
Pierre Vachon,3eoDydJvQ6KYPeNrnxCJWg,
Gian Francesco de Majo,4PMq3Thvp9DWsy7sBIrqwj,
Franz Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,https://i.scdn.co/image/8c542f22fe3fdb45e8c908f8c9dbacf764b1ae44
Johann Christian Kittel,5Ocd6O1lRkrMQpXgQRhpb5,
Johann Christian Fischer,08G9u9N2LGuA68RuDBQJRl,
Franz Ignaz Beck,7hAPULAiKHfiE5MsUQSUeR,
Jean-Jacques Beauvarlet-Charpentier,69CxH8eJ1pduaLXv5FkVYx,
Karl von Ordonez,2Y5k1HBnpzcJMHFFNh5pYi,https://i.scdn.co/image/74e5abd7c5daf6a4b277e7bd5975eae31147c7c7
Benjamin Cooke,2guxve7rJCeTXafVMJWIZc,
Francois-Joseph Gossec,1KBWt9hc5YE25x6Bcr1zps,https://i.scdn.co/image/8abc092919340eeb8b03a57cd7a99fd3ec742806
Johann Christoph Friedrich Bach,6T42Lm3lRfFAQrWyA3Svsr,https://i.scdn.co/image/aa67990c519cba9645f7efda7de0ea53cf2b5ba5
Ignazio Spergher,16oUVXpqIofnkHvM0zfgup,
Giovanni Battista Cervellini,1TXyE8yqnFn8eiEtvYbU5X,
John Collett,2wWLaPKcydQGdcz9KlR9W6,
Anton Schweitzer,3dmkhyXL3wJg34RfMJNaPU,https://i.scdn.co/image/b5e3e26f555b6380ca9f6e50f9b86212cc123c4f
Johann Christian Bach,0ebni9QrrWMvEgH40nOWZQ,https://i.scdn.co/image/8e101caaa0056a9d76bf80847d2aa706b164895d
John Bennett,7lrl68wtTgB1btTCoHb8j0,https://i.scdn.co/image/3ebe193dcd02f9819576d78d0df62686a34346b7
Ernst Wilhelm Wolf,26FxB0VY5N9JrEF1S7Nk3Z,https://i.scdn.co/image/0f2526d0697af36adf233d8e9a13c35f49e7abf4
Carl Friedrich Christian Fasch,6JLqNYDqd0B9eIEY4bdXf1,
Johann Georg Albrechtsberger,49Aq12YWwKS5hg8pgInIRW,https://i.scdn.co/image/4651a87137a139e1cdb7242d8aff7e44420f4e9d
Antonio Tozzi,6ENa2xXZko3Fv1Lh0HJSif,https://i.scdn.co/image/64acaa952e4db7196ab1a8fff0f90cb08efde8e0
Michael Haydn,3rGstcVKQhx8DhhJzIVQoe,https://i.scdn.co/image/bda1052dee2aebad1f912783b1e4c783dcdbb44c
Tommaso Giordani,3kRXTKNW1P63F3njZ3tLdr,
Friedrich Schwindl,2jIrnFujRgsRpL1rmAsXR9,
William Herschel,1vXOHfaPrjlCiXWHpKHgdf,
Francois-Hippolyte Barthelemon,1pWaw40LykQ83AzWVEa9Sk,
Franz Xaver Hammer,14ZYkHo5U47fERw3VZBEmM,
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,https://i.scdn.co/image/13df907452086739d886713fa2005c8ec03ee340
Johann Baptist Wanhal,6mPwuN6fC3q5v8jBPWLutn,
Leopold Hofmann,0n0v0UMvVzA9NFLY9ctDMT,https://i.scdn.co/image/f4fdd23424ce83b73727f08648b324141fced65e
Michael Arne,09KsosajGxApQs7OVJT41F,
Samuel Arnold,2Ktjp8bidiSir0ep0R5g8V,https://i.scdn.co/image/b84b692ff5e6b380aa931970db24f23ce9aabfde
Ernst Eichner,5ksdKR5sWmhA7BXhK2IhnU,
Luigi Gatti,2xGVspD67CVfSf1upSMrWs,
Andrea Luchesi,4ucxPL2ArQiRjaUjx4Exh6,
Guillaume Lasceux,2Iwje1gUaTlh9T2kdqD1QW,
AndrÃ©-Ernest-Modeste GrÃ©try,1P4zceYumMICJvWy9Ih3W0,https://i.scdn.co/image/1b1c8a7b84f1a03e609583e31a982ee551ad41a4
Johann Schobert,00AvfPm2fQHShd4vt7kdE8,https://i.scdn.co/image/d8de5fed486de05b97ab6e196c4a332ae9fad525
VÃ¡clav Pichl,3s7A9fIVw9pzZWqc4ixe79,
Johann Gottlieb Naumann,6IBWM3JIyvowwWGcNm2TaA,
Jean Paul Egide Martini,3NuYWtwa3fHQmlYdGJnZ4l,
Leopold Kozeluch,7C5oAOwd8u6WbaKEn7NJEl,https://i.scdn.co/image/21371751592cd7168b0e6c459ae777ef2542aacd
Alois Luigi Tomasini,4U1huMELvkCAKj9uVcYo6k,
Jean-Baptiste Davaux,35zTz2xRVql1qfrl8iY8KW,
Vasily Pashkevich,3hI3wp1zim3vEOmPTwRmUD,
Gaetano Brunetti,6tNrbFGcfaJni7MgILjpvE,
Anton Zimmermann,4Uu69JXg1V2HayHQBy9AGW,https://i.scdn.co/image/7ae776eb792e4aee5a3437515737d3d2c9c1d432
Luigi Boccherini,2l4vGfFV7e46yO8lxfxR76,https://i.scdn.co/image/9577580a40b7188dd61e8d7073f5fe09c324dfed
Joseph Beer,4QjVdEAF22ECLQSMrxKVQX,
Ferdinando Gasparo Turrini,4b4F7azOcDxCa3suEGXRAo,
Giuseppe Gazzaniga,3smS7pdrcGVlRCoY7el9ov,
Maksym Berezovsky,29OELj0kdryKFojlBySmxr,https://i.scdn.co/image/c6a86d0920949ff3b30231645b90522a2234d1ea
Franz Nikolaus Novotny,4o1DvJxrozHEI1prSmfc62,
Joao de Sousa Carvalho,0lUtb2fdJg7i9YqK7lcR0v,
Carlo Franchi,7rVShTjREDmitMMhiwtgBW,
William Billings,2wqMB8bWGc53kP74XLbQX1,
Joseph Bengraf,0LgkF4U9WdJ8ClIptoQfnl,
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,https://i.scdn.co/image/2e7d4f7373412a29da4fa6ae4732396168662f9f
Georg Druschetzky,7fxB8Moi08JvxHaN3f5DCC,
Maddalena Laura Lombardini Sirmen,1TfN8EV5lVoZ7Iq2QNkdMa,
Giuseppe Maria Cambini,1h1ehhJYPZwZUyLS5By30j,https://i.scdn.co/image/c1434c8e2985e7be7ddb84f5b9519d93661547e0
Carl Stamitz,07GFs4QjIiUspOwYP24qP5,https://i.scdn.co/image/3111184c096f81fcfa75c02257e8a5e9bded0405
Jan Nepomuk Vent,2TsHek4cCh7BoEXZYod7MC,
Johann Stamitz,3xo4qynwgOgEdxJvrGfW22,https://i.scdn.co/image/d05961dea1503b00355a677fd81543ad50f17840
Francesco Azopardi,0VkgX2L6MXaJaXFusZvNIy,
Joseph Schuster,20c8fobVGYB5zZERke3VHR,https://i.scdn.co/image/8ab88e2260cc2048102e458f8b715058b4e6e539
James Hook,3MtSPfL4OhW7nFrMQtdUe2,
Giovanni Punto,5jOKQhxYkN17aRgTDphMhB,https://i.scdn.co/image/4709bd0834c417dc6cab278353cd12b38995691b
Ivan Khandoshkin,1TQUhFvv7G4nRRFZ2P9wKW,https://i.scdn.co/image/bb71d3cb7e67a3dc215f7f1ed81e3106b3e22e41
Johann Friedrich Peter,5RPBccq4pICSUo4nQVIQCH,
Antonio Rosetti,3oI1VmAa821ogGTGIcb3qN,https://i.scdn.co/image/346e9f13805003f414475e2f2035f96d7760b7d7
Josef Fiala,16P3Gv8q5PTfHzqyBOvHiC,https://i.scdn.co/image/9207ddcdd2c058e80adc411ab2f738428836c833
Joseph Quesnel,3QmG29yb4JclbOycGwscNl,
Justin Morgan,1KlLeI5ilvpKwAzE6EzxIG,https://i.scdn.co/image/634f4489f006d8eb8f8feec62783092fadacb996
Bartolomeo Campagnoli,475rh7DliRsDAJuN8GgHlz,
Johann Abraham Peter Schulz,2wAjgQbL7hf3b7wFtNpVcl,https://i.scdn.co/image/864a8e0af85041e03e21540a2714d713f15671d6
John Mahon,2ayhKAIwS2NYUfNW7D7dbo,https://i.scdn.co/image/2d7a2098ce11133054627a219a45b4197de68b3d
Emanuel Aloys Forster,2xxzQj7Gi6tbmX0OdBv2ge,
Christian Gottlob Neefe,2DtZwF1LKXqqNd4PhCa5Ex,
Domenico Cimarosa,3UyRRlpJO3uCojQkBibqNZ,https://i.scdn.co/image/935e2d18e4e010e3ca02a3dbd94459d5f9aea60e
William Shield,7B8nY3TppdLIvHpuip2rnE,
Jean-Frederic Edelmann,5Til9i9o4syGI7YiK1iEOF,
Jean-Louis Duport,4QqTfBDO9OYjN68oq8biib,
Antonio Salieri,4zAMiCvE5KTXuTHxi56cPE,https://i.scdn.co/image/e696fea8a7ec205266aaffbbb631d2d9724948c4
AbbÃ© Georg Joseph Vogler,41SsqXJOkU39U60BPguwTS,https://i.scdn.co/image/d2ff5c1a314179b1a33ce8048f8b125b79e67fa8
Francesco Bianchi,7qoQrmqalBc53mgVGugcOU,https://i.scdn.co/image/f421eaa7eb7287f2ba84e11f3a7ef7889652e4b9
Giovanni Cifolelli,42mR1aLwZqWV0pRZj5iYfS,
Johann Franz Xaver Sterkel,5Td1ljhODAYpsiTCJ9M6Nv,
John Stafford Smith,2aNSLswil0DmMEtpKyAQV9,
Johannes Matthias Sperger,4pJVnCwq09Q7PFhQzyabAs,https://i.scdn.co/image/77831ce87a16f4da6ed84107858c0ec7e8ded4a3
Dmitry Bortniansky,120rJmJK7OSWyvtEIqG5XX,
Giuseppe Giordani,0ZEUwDWj56BdnmBB4om1jf,
Johann Samuel Schroeter,6V5dmaGRVmX6PfSyOXPFHl,
Corona Elisabeth Wilhelmine Schroter,2MY0TKJibSFI0EoiepECsU,
William Smethergell,5vYYAm6x9pJCo6PpUsd0Ml,
Vicente MartÃ_n Y Soler,3QNhCkrXRNFHFPxxjEkmEp,
Ludwig August Lebrun,2AE8gL2coke38ug6AQFA57,https://i.scdn.co/image/a31d92dcbffb0fbbed2e8a3dcf8afb76054669d5
John Marsh,2XzmapOdG0v6RgTk6pD0QG,https://i.scdn.co/image/ab890702d3e2ef501d41d5ca0ede8643a0ec92da
Josef Reicha,4TfNToAkyMkrGjbdeEhJx3,
Muzio Clementi,47e2jUYcqSQ8RL2DVmxmzn,https://i.scdn.co/image/a18cadf0f113d42250b0f93d4dc73985eaf99896
Franz Grill,3Y473UxV2p2NDJu8A4C4xq,
Johann Friedrich Reichardt,30WUDFHc0goZHd00HxGSyO,
Justin Heinrich Knecht,08ZzzUbfnpDqxWASmq2kUn,
NiccolÃ_ Antonio Zingarelli,7mPVGqs6pyIZf3gPbiKhcS,
Nicolas-Marie Dalayrac,3WjrYOz9RdauRJ1cYgS5sz,
Christian Friedrich Ruppe,58odqGSagjBKBvp1oLaiYG,
Johann Baptist Schenk,2FJON0A1XLvC5AE7o4Cnof,
Johan Wikmanson,3F1RZ0mUTUS8yoXYKIgzU3,
Franz Anton Hoffmeister,2TxIbIf3EiutjCRSkhDaDy,https://i.scdn.co/image/434dcd7b31fdd5a6d83c602df2bf4fbfd74ca539
Federigo Fiorillo,2HQZFyiJrksYZN3hiM5uOq,https://i.scdn.co/image/840ad2d24f88fcca0b73c1ee3c989cdb77c8cb00
Peter von Winter,3DoJAyksa2qVrCI0OiwZrH,https://i.scdn.co/image/6706c60d72eef1c156c44e5748475e6d36c5e828
Etienne Ozi,7c3yXRd8ZwZwFL5pvr27wY,
Giovanni Battista Viotti,7e481IDyzSINMX6tH8YCab,https://i.scdn.co/image/86f477c691cc88969e919ee89a3d85a23c2ab5a1
Michel Yost,0Qq2BLiUSZrmLMoeCQLyxc,
Antoine FrÃ©dÃ©ric Gresnick,0wQgjKlddWyhxZ0Zj13JhA,
Wilhelm Friedrich Ernst Bach,0zAGZu2fUUuVGjrWzFPs1k,
Giuseppe Ferlendis,5jYFheK3JWqNBF3lx3nl5W,
Alexander Reinagle,2cCkx2FNhnkc1w4Q0Fc8Kn,
Maria Theresa von Paradis,2zyLLhavAl32o2ZIoWpfsT,
Joseph Martin Kraus,5Sh5bcsXTZJZlRgIrK1NxW,https://i.scdn.co/image/e1fbc7aeafbe441b18bfe670215e8eececc78bc1
Ignaz Pleyel,7LQsXsBaqdpd0GMVJe7drZ,https://i.scdn.co/image/69e430498b0b32361e43de1b21850554d510e640
Josepha Barbara von Auernhammer,1enE3dUczZVOZshcSsj2wn,
Antonio Calegari,0icHwAt0ofvx4VoKWMkUIm,
Daniel Gottlob TÃ_rk,4bKWcSkuhglMD7sbIDazSF,
Paul Wranitzky,6ZQRndtfkctetzKWE32YhJ,
Vincenzo Righini,2wOPMeVLxnDrnd0VGoMMp2,
Gaetano Valeri,6t7ZOEbpSAXQ0vmwkVpmp3,
Friedrich Ludwig Aemilius Kunzen,1LhBx5ZbpCMXKUgZOoE4kM,https://i.scdn.co/image/7229e6b6418fbcec82df5332e19ab02fdc655c68
Carl Friedrich Zelter,3OQDR5VyyHPURZ2fyE8CDa,
Alessandro Rolla,2UHRIqEuDWLNreZBp94lM4,
Benedikt Schack,7FH4WEkOEfqCIb6KxlAjrY,
Francois Devienne,5vgAYxogfSCdoUDjqXqjmp,https://i.scdn.co/image/b649638ab73224ae176a3875f20b1e842d3954b7
Luigi Cherubini,1SXRDJxjOty2T43t4gXAnk,https://i.scdn.co/image/650d7657aa3645aa8cc63a49ff8dbde94285d317
Johann Ladislaus Dussek,72kMxf51KK4mKY3kRX7Uve,
Stephen Storace,7DWSE4brrBrZfWgDpyqJ6y,
Franz Krommer,0QIh2G4Tu6jJSqnP03fpJW,https://i.scdn.co/image/ca6c1b90f421a0f0cef53422e75632958ceede67
Johann Christian Friedrich Haeffner,7dbTJq2VbMzN7TkiJjfXID,
Franz Christoph Neubauer,1Ua8RgwJUQgPdA9GMZJN6u,
Angelo Tarchi,5eLvIlNN0yR0hshDtl9sAY,
Johann Rudolf Zumsteeg,7yoD0mUNfjbK92uvoNP1jD,
Pierre Gaveaux,2XamJbVn0I3XGhpPGfUw93,
Erik Tulindberg,1DlCBgiYgeNBtbnsZEdiRn,
Adalbert Gyrowetz,7z9VQEeht1fKH2GDR1WWLp,
Jean Xavier Lefevre,4dQ2NbBlFqbhTOoubyte5e,
Franz Danzi,6k3Ws6wp7iOp7lN7pxsfjT,https://i.scdn.co/image/40d5c8802af1d35f7f86adafa905a794a9381d06
Johann Simon Mayr,2vbFFM9R4juvT5mTFMkUth,https://i.scdn.co/image/7be817adc9ad2aa8f9ca8be81892dc8300b5b547
Domenico Dragonetti,7pmy3Uf55KYqSRgXZTiR4F,
Valentino Fioravanti,0kEuO47LP8a0BZGnpslQYw,
Wilhelm Peterson-Berger,1pnzip6Xgb2Qs3xWHFx6Jt,https://i.scdn.co/image/400c9c90179579ecf70e0ccf8aec8c224c2414b2
Henri Herz,1S7g9vS9FKgRL58StTw43l,
Cesare Pugni,2Bd1yI8KlQ6zni5mUfHjc4,
Louise Farrenc,3cCP79U05k4MrNSU06eBy2,https://i.scdn.co/image/9e28fe88d5886c6a7963f2421d4e63dcbb61644f
Adolphe Adam,71VUVLmoTKKYfIugkavMeS,https://i.scdn.co/image/e7747c8202d4a9e724c7cc23afb4974671c258b3
Franz Paul Lachner,3WTI4rpJrtBnry5ALqFKwk,https://i.scdn.co/image/108918d508e1f23b659918ac619ea0ae51e25891
Hector Berlioz,11T8SOX82xraocZzUXzkvM,https://i.scdn.co/image/02fa3aaf33c47f77415f17ebaa08be980324970f
Ignaz Lachner,2K024xLePLxJbrNG4zVW7w,
Mikhail Glinka,1GEuHbNwTRj4QPyoythtBh,https://i.scdn.co/image/3d094167cc7c7f65623fbd426356c32e1c5cfdcd
Johann Strauss I,4WMHJgeJCssiGW3ssUT7eb,https://i.scdn.co/image/3fc6f24a8bfadde2444e1e95dfb479f05639b357
Fanny Mendelssohn,2Wj0NreQeOfrGxnPIaLcCi,https://i.scdn.co/image/e022a57741294f2b5601929353de2d3ce7241948
Johann Kaspar Mertz,06ZJnihZcaNruiWz4KWbRx,https://i.scdn.co/image/dee9dc8768af68830bc432a8210c46555260ce01
Otto Jonas Lindblad,2iFKcghd6GTtAKEe4eWPP6,
Michael William Balfe,7HuGWZ45JRS6T6Mu8yS7zW,https://i.scdn.co/image/85d66758049e6acc653fe1e96cba58527fb944ec
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,https://i.scdn.co/image/26c5589f0d075be87cdcf66ebd3bdab0fe7e9138
Ludwig Schuncke,2yjQ3NuzLiKUgNuQqzKAbX,
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,https://i.scdn.co/image/dd68ecbf195cd1efe59eeca468ccaaf915e4444f
Otto Nicolai,5Cnc0noHxdjlRyiRPPvvjq,https://i.scdn.co/image/f68664019b99283505b8c7a957e3cfd4c50be3ae
Budapest Ferenc Erkel Chamber Orchestra,6GknxwK9Gbjgg3P3Qqyay1,https://i.scdn.co/image/c6bbf294e3fdb5ce3cefcd5e0ac317ff00609b89
Wilhelm Taubert,0xUuarjLZYfAOt6ca0yQkv,
Ferdinand David,0Zi3K8wNktyPQ3ZwNLXRvH,https://i.scdn.co/image/583433d00161b66f4fa0ea0fcf1319de662c18e8
Franz Liszt,1385hLNbrnbCJGokfH2ac2,https://i.scdn.co/image/a13888f83f05b60b04c5ac5d34486b4afb8e0557
Ferdinand Hiller,6K4d8IgQ373cKaACnR8WJh,
Ambroise Thomas,4b83P4cnmD7hqhoUkgGEsN,https://i.scdn.co/image/eb1899bfcea2cbcdf9af1c0f25e12f69705a3741
Emilie Mayer,4zkusum5eZdIObW4RHOkIh,
Friedrich von Flotow,1fiVwfyL3nKnmVz7580kET,https://i.scdn.co/image/403a83743e078f9b6d818a6beede62a82faebefc
Sigismond Thalberg,0UpUHX0xRdD7TLty6bU40x,https://i.scdn.co/image/73225509c8faaf87fc3908d8163a64311e69a781
Alexandre Dubuque,1ZfI9gGhq3Dk0rXFwCgvPP,
Stephen Heller,1zgoSczPOOrcC8mkZoiivQ,https://i.scdn.co/image/8bd98c72fa664da20ed407e71c060975c9a7c064
Johann Rufinatscha,4yXTuoHql4EnhEja1zNqUL,
Alexander Dargomyzhsky,2e1NJfIScuztewWi4oOnlF,https://i.scdn.co/image/32dd2a6912be6a30c1866f1faeb72c6c951f3269
Charles-Valentin Alkan,07OhqeLloDO7wu0yCaVO2D,https://i.scdn.co/image/f39fec391016b674a9577449c030143113e3f997
Ernst Haberbier,7sDKWxhZuHEtK8WFaGkbq2,
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,https://i.scdn.co/image/c4631dcc5c63825db5840869f89cd629a4466c7b
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,https://i.scdn.co/image/b7f0ce2e219e322971a6ee16fc3f4e31a5a7b973
Adolf von Henselt,1ixDxXnQmZDWEiYPYJxNot,
Giuseppe Lillo,15P3fnVfX9DC8l5j3l9Js5,
Josephine Lang,5njDMXjq3quQzRy46db3sA,
Friedrich Robert Volkmann,3BW8UxKsDs71Lcx8AncOAS,
Charles Dancla,72lPlsUJ8DSrHC2cB14Skl,
William Sterndale Bennett,7DieDOyD7i2Hb1vtrIr2Ya,https://i.scdn.co/image/68bb41462bca455b605113064fb3164e0ccbaf22
Henry Litolff,5vd0CttoNZCsm9ExI28gkB,
Niels Gade,2GZyZiXixfvpfYo5t1kUwx,https://i.scdn.co/image/813cb40a5a760f20a6e545e3416d3524a1c2ec2f
Jacques Offenbach,4OihBPCQzR4GfbzqOY69Xm,https://i.scdn.co/image/ec2ad60345e5badbb0534d272b9990c6abec4504
Antonio Bazzini,06GaeXANkmOHTl28xHSE0A,https://i.scdn.co/image/3d3413fff357cad274e1ecaf8db716b9a66c3ba0
Charles Gounod,42Vmza0WYHdhsgxFmf9Tui,https://i.scdn.co/image/2463e7119936cf1d19e5c8eb7644fe3f0fa32237
Clara Schumann,2yzaWNFV3cxmcRZtwtr5WC,https://i.scdn.co/image/f4ad4e6d20fb22b94144452b9af6fccee7d4f11d
Henri Vieuxtemps,4ceZFtLs8nvyVMyvcNlxJh,https://i.scdn.co/image/241aa2507b14c80655e3ac515b1a4af5042c0688
Giovanni Bottesini,1cRTNFbSHeoVdpbNRy6bSO,https://i.scdn.co/image/38d217f9f741eccd91ba6d0b5c9971f330e4ded8
Theodor Kirchner,7o9aEM0H56UlOw3RMuabsS,https://i.scdn.co/image/6133ae31319341f6f2d815a4c729a4ac50fd2f3f
Luigi Arditi,5jPslEqO0MoZWmXspsbQLO,
Bed?ich Smetana,5KwwOyUyo4Uhr4z7EY5Kge,
Josip Runjanin,4ozSq2iSO2THqGqpJGIjtY,
Joachim Raff,1LA9Zn3bgZCPA1VJVEvDa0,https://i.scdn.co/image/082082c35b15f2a1c94896fefae329843ee351f0
Anton Bruckner,2bM3j1JQWBkmzuoZKu4zj2,https://i.scdn.co/image/da53679d30eac626b8a043490d942df91925f387
Carl Reinecke,6qrUIvuYX2DLbDruM7rguh,https://i.scdn.co/image/57475a5b5a10fe727a204b80d9c6166c37c79408
Jean-Baptiste Arban,1ZkiicBUSBwH2rOywqQ4Od,https://i.scdn.co/image/8db8d0ede82d9b25e99c909aec2108fbea04b019
Richard Hol,5tUfeFUseofhyvH4muBK0x,
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,https://i.scdn.co/image/13df907452086739d886713fa2005c8ec03ee340
Stephen Foster,0ZC98hE2PleBKS61my6gly,https://i.scdn.co/image/0662edb1974b32fefef43516540e1c5186e77b29
Ludwig Minkus,6c9HjJ2cYmFsUUkjkcL1iD,https://i.scdn.co/image/e7fdb0254c63af5638310e2d503edc6db669f410
Josef Strauss,0qU8UdzIf1I2ZxyI5OHdut,https://i.scdn.co/image/f69447d9e0250c6c8a7988a47b3c586115e01e94
Adolphe Blanc,79FCxej0JOZ9XfsD9ZMMPV,https://i.scdn.co/image/06c04f988006434e63321033b9ddf428a208147e
Louis Moreau Gottschalk,5Q6oes1V99h1T2ufiUNI2c,https://i.scdn.co/image/7321a6acf07f2eee990f265d5c45c9d05a2505c3
Karl Goldmark,0Pz79wagKnssEZImEgGGFv,https://i.scdn.co/image/35bee354d08473c9314cac5e7001f695b91575c6
Anton Rubinstein,01ngcjkCXOFGBB3UVG3saM,https://i.scdn.co/image/a66833942802abfbf16f757da1a572e0da1dc7e4
Ivan Larionov,1KUrfLSG0x7r3AwFcHScHY,
Hiromori Hayashi,2G6qzsGtIX2bhJp56e6OLD,
Alexander Borodin,34MYamymtmnsmpwbqydd7I,https://i.scdn.co/image/07d554227436c670346bf3468ab73a80443b9418
Joseph Joachim,6QuJ4aZSRMebqwDXiJ3SuA,https://i.scdn.co/image/07e1f998139d2f1af9435450f1b91b00691ef89b
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,https://i.scdn.co/image/83df2e7b402567fe5ef981b8161fe7153ed5d927
Amilcare Ponchielli,088fpww3Ae4U9cMZv5O6m8,https://i.scdn.co/image/1a04fb46a1a256e670889a62e19f5a6306e184e8
Julius Reubke,3NejtlAJlaXXCAI4lGLhHq,
Peter Benoit,260usZKSgRGs6Ze4DWahMI,https://i.scdn.co/image/c9ca6e51e472afbe9f92b106ce05ba24b7db4cf1
Eduard Strauss,5FRqFzmeoc0L2u7wWEaagD,https://i.scdn.co/image/b5525aa417ea474561e81586ab03ce2a7fe53ffa
Henryk Wieniawski,7wEcQTGkugQxXzikls4izh,https://i.scdn.co/image/b72fba8d714820e499460285b1eb2595dde74e30
Felix Draeseke,5Vp6oO51Y4KbSK4D5GH9dW,
Davorin Jenko,24FjXwooYti4KUDDgpM4om,
Mily Balakirev,2V5Fnwup32wFPAtMi2vmXq,https://i.scdn.co/image/eb64914f3df0c50519c839bd24868089d032e4ee
Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd,https://i.scdn.co/image/d06a1a1c32ac26e366ca903412b1458de9826485
John Knowles Paine,0WpSFotLxPgdnZYI6YceDg,https://i.scdn.co/image/6793f5fb098dd899c3922269c97a12fe78f9a902
Max Bruch,0521x50ZcNqqT1fKMJg5c5,https://i.scdn.co/image/93b4266efe12db296295cc5e0113b3c36619277d
Modest Mussorgsky,284mnx33IWcymQEpMxyfHl,https://i.scdn.co/image/2ac33c5b8dff7855937a1249680c4ec6a1f482d4
John Stainer,1Hw5GKs0jCKsLfnl41m8Wl,https://i.scdn.co/image/1794e8b557ac5f5456f5c771e7c5a1ed7df39b52
Johan Svendsen,7D8evrjQtt7dee4wqK3pva,https://i.scdn.co/image/609f27045cb34b62f7e911c85ceb00425360382e
Emmanuel Chabrier,7y3p0lS9e0oGcJUOHlF1wk,https://i.scdn.co/image/318a7dc2c424003694f87634bc4b6719c2b4891e
Arrigo Boito,4QHgItlRsXcYDTm3eJoFDP,https://i.scdn.co/image/6d442936760878907699deb9797dc33b3527be4d
Giovanni Sgambati,3m1zAAlMbuq1ZAHFggftkC,https://i.scdn.co/image/3d3a60174bd53e11665e451a8f63d51474c6b624
Jules Massenet,1AoIc5YFH0aSFc4mKqBEeB,https://i.scdn.co/image/611f7bd3dd01d6ba0c34ddd6024669682710f17f
Giuseppe Silvestri,0OQOA5GYqZRHNRPfS3D1TM,
Johann Nepomuk Fuchs,1XE8kAS14OzHpExiYFRuAT,
Arthur Sullivan,1jK7F6jheJ08CowHGDW6IN,https://i.scdn.co/image/d726537b8c2b3528b507103825b532ff26120845
Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,https://i.scdn.co/image/ff2fc4924b1e35bc9d56d18b0e5744f5daac71ce
Felip Pedrell,5dEHq8WUcaGGUgLEiPd7CE,
Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,https://i.scdn.co/image/5a434b6894d4e48995866aa31fa4f726e5773fa5
David Popper,1Yfs1gSacKS9Bqph8IyxFX,https://i.scdn.co/image/30a5572f5388b69fb98a95a1fe35590fb54e4fb6
Charles-Marie Widor,6wgviqppMkEUf4p2WJ2uVa,https://i.scdn.co/image/a1b52cf6f85fdc3ef4f61433f69c8cf729605394
